#,Name,Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
877,Miguel Diaz,DET,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,Pedro Avila,SDP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,Tommy Nance,MIA,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,Kirby Snead,OAK,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,Robert Dugger,---,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,Conner Menez,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Jose Quijada,LAA,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,Dakota Hudson,STL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,Mitch White,---,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,Cole Irvin,OAK,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,Seranthony Dominguez,PHI,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,Ian Hamilton,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,Thomas Hatch,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,Taylor Widener,ARI,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891,Justin Dunn,CIN,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,T.J. Zeuch,CIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,Vladimir Gutierrez,CIN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,Kyle Dowdy,CIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,Zac Gallen,ARI,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,Trevor Richards,TOR,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,Cal Quantrill,CLE,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,Eric Lauer,MIL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,Matthew Festa,SEA,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,A.J. Puk,OAK,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,Daulton Jefferies,OAK,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,Caleb Ferguson,LAD,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,Dean Kremer,BAL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,Cody Sedlock,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,Corbin Burnes,MIL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,Keegan Akin,BAL,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,Walker Buehler,LAD,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,Tony Gonsolin,LAD,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,Colin Poche,TBR,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,Ronel Blanco,HOU,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,Dane Dunning,TEX,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,Shane Bieber,CLE,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,Yohan Ramirez,---,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,Patrick Sandoval,LAA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915,Shaun Anderson,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,Michael Rucker,CHC,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,Bryan Garcia,DET,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918,Jorge Alcala,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,Aaron Civale,CLE,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,Andrew Vasquez,---,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921,Devin Smeltzer,MIN,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,Zach Jackson,OAK,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,Raynel Espinal,CIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,Tanner Tully,CLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,Cam Vieaux,PIT,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,Jason Foley,DET,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,Ryan Hendrix,CIN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,Jimmy Lambert,CHW,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,Stephen Nogosek,NYM,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,David Bednar,PIT,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931,JoJo Romero,---,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
932,Norge Ruiz,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Sean Poppen,ARI,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934,Luke Barker,MIL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935,Cionel Perez,BAL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,Jordan Hicks,STL,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937,Matt Foster,CHW,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,Kyle Wright,ATL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,Jason Alexander,MIL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,Gregory Soto,DET,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,Jordan Sheffield,COL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
942,Connor Seabold,BOS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943,Matt Swarmer,CHC,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,Patrick Murphy,WSN,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,Dustin May,LAD,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,Kodi Whitley,STL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947,Anthony Bender,MIA,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,Jonathan Loaisiga,NYY,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949,Will Vest,DET,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,Jacob Lemoine,OAK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951,Anthony Castro,CLE,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,Keegan Thompson,CHC,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953,Wil Crowe,PIT,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954,Bryan Baker,BAL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,Daniel Castano,MIA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,David McKay,---,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,Alex Wells,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958,Darwinzon Hernandez,BOS,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,Michael King,NYY,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,Brandon Bielak,HOU,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961,Drew Carlton,DET,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,Tucker Davidson,---,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,Alex Faedo,DET,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,Kevin Ginkel,ARI,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,Tanner Houck,BOS,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,Alex Lange,DET,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967,Corbin Martin,ARI,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,Clarke Schmidt,NYY,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969,Adonis Medina,NYM,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,Jose Suarez,LAA,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971,Tony Santillan,CIN,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972,Trevor Stephan,CLE,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
973,Jhon Romero,MIN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,Ian Anderson,ATL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,Jesus Luzardo,MIA,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976,Joey Wentz,DET,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,Tyson Miller,TEX,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,Zach Plesac,CLE,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979,Bryse Wilson,PIT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,Joel Kuhnel,CIN,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,Dylan Lee,ATL,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982,Tyler Wells,BAL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,Kenny Rosenberg,LAA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,Wyatt Mills,---,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,John Schreiber,BOS,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,Rico Garcia,BAL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,Phillip Diehl,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,Adrian Morejon,SDP,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989,Ronald Bolanos,KCR,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,Jesus Cruz,ATL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,Jake Fishman,MIA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,Kaleb Ort,BOS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
993,Bailey Falter,PHI,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,Miguel Sanchez,MIL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,Mauricio Llovera,SFG,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,Chris Paddack,MIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,Michel Baez,SDP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,Calvin Faucher,TBR,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,Adam Oller,OAK,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,James Karinchak,CLE,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,Nick Nelson,PHI,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Kyle Muller,ATL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Zach Pop,---,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,Chad Smith,COL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,Garrett Whitlock,BOS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,Eli Morgan,CLE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,Jeremy Beasley,TOR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,Mike Baumann,BAL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,Jake Walsh,STL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,Zach Logue,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,Zac Lowther,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,Griffin Jax,MIN,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,Cory Abbott,WSN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,Jhonathan Diaz,LAA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,David Peterson,NYM,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,Erich Uelmen,CHC,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,Matt Peacock,---,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,Riley O'Brien,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,Zack Kelly,BOS,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,Steven Wilson,SDP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,Brusdar Graterol,LAD,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,Matt Manning,DET,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,Bruce Zimmermann,BAL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,Andres Munoz,SEA,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,Greg Weissert,NYY,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,Anthony Kay,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,Josh Fleming,TBR,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,Jovani Moran,MIN,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,Rony Garcia,DET,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,Enoli Paredes,HOU,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,Huascar Ynoa,ATL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,Casey Mize,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,Kyle Nelson,ARI,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,Nick Sandlin,CLE,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,Denyi Reyes,BAL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,Kutter Crawford,BOS,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,Edwin Uceta,ARI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,Phoenix Sanders,TBR,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,Bowden Francis,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,Kirk McCarty,CLE,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Jackson Tetreault,WSN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,Anderson Severino,CHW,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,JC Mejia,MIL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,Jordan Holloway,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,Yusei Kikuchi,TOR,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,Luis Castillo,DET,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,Felix Bautista,BAL,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,Cristofer Ogando,TBR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,Cristopher Sanchez,PHI,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,Manuel Rodriguez,CHC,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,Aneurys Zabala,MIA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,Elvin Rodriguez,DET,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,Eduard Bazardo,BOS,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,Francisco Perez,WSN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,Adrian Martinez,OAK,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,Oliver Ortega,LAA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,Jhoan Duran,MIN,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,Emmanuel Clase,CLE,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,Seth Martinez,HOU,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,Luis Gil,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,Thomas Szapucki,---,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,Nick Duron,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,Nick Vespi,BAL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,Dauri Moreta,CIN,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,Miguel Yajure,PIT,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,Alexis Diaz,CIN,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,Dany Jimenez,OAK,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,Humberto Castellanos,ARI,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,Connor Brogdon,PHI,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,Bailey Ober,MIN,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,Jake Bird,COL,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,Lucas Gilbreath,COL,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,Andre Jackson,LAD,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,Tylor Megill,NYM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,Bryce Montes de Oca,NYM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,Parker Mushinski,HOU,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,Nicholas Padilla,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,Bennett Sousa,CHW,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,Glenn Otto,TEX,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,Peter Strzelecki,MIL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,Joe Ryan,MIN,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,Yerry De Los Santos,PIT,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,Ryan Feltner,COL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,Davis Martin,CHW,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,Konnor Pilkington,CLE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,Kris Bubic,KCR,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,Cole Sands,MIN,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,Sean Hjelle,SFG,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,Shane McClanahan,TBR,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,Daniel Lynch,KCR,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,Reiss Knehr,SDP,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,Jackson Kowar,KCR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,Brendon Little,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,Jake Cousins,MIL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,Elvis Peguero,LAA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,Kervin Castro,---,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,Edward Cabrera,MIA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,Javier Assad,CHC,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,Jose Marte,LAA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,Braxton Garrett,MIA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,Cole Ragans,TEX,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,Mason Thompson,WSN,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,Gregory Santos,SFG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,Yerry Rodriguez,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,Max Castillo,---,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,Camilo Doval,SFG,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,Luis Frias,ARI,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,Angel Rondon,STL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,John King,TEX,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,Aaron Fletcher,PIT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,Kyle Tyler,SDP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,Max Kranick,PIT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,Easton McGee,TBR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,Hunter Greene,CIN,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,MacKenzie Gore,SDP,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,DL Hall,BAL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,Jeremiah Estrada,CHC,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,Jon Heasley,KCR,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,Logan Gilbert,SEA,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,Shane Baz,TBR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,Tarik Skubal,DET,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,Dylan Coleman,KCR,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,Trevor Rogers,MIA,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,Matthew Liberatore,STL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,Joe Barlow,TEX,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,Angel De Jesus,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,A.J. Alexy,TEX,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,Colin Holderman,---,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,Josh Winckowski,BOS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,Logan Gillaspie,BAL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,Johan Oviedo,---,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,Carlos Hernandez,KCR,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,Angel Zerpa,KCR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,Roansy Contreras,PIT,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,Luis Patino,TBR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,Francisco Morales,PHI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,Joan Adon,WSN,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,Michael Plassmeyer,PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,Michael Grove,LAD,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
